"id","scoreline","home_team_id","away_team_id","winning_team_id","attendance","duration","home_team_score","away_team_score","score_differential","home_team_outcome","away_team_outcome","year","month","day"
"390d6fc1-39db-4a7f-a32d-d822f3113778","Maple Leafs 2 - Bruins 3","e9d7bcb5-6723-4ca9-b1d9-1ccd026be1cb","2d8d4fda-a9b9-4978-abcc-31b9dfb47175","e9d7bcb5-6723-4ca9-b1d9-1ccd026be1cb",17565,9660,3,2,1,"win","loss",2016,1,16
"83cb13a6-e2ff-4678-a1d9-494326be97ef","Bruins 4 - Sabres 1","1deb863f-6919-4b88-8a38-51753f3f3032","e9d7bcb5-6723-4ca9-b1d9-1ccd026be1cb","e9d7bcb5-6723-4ca9-b1d9-1ccd026be1cb",18704,9000,1,4,3,"loss","win",2016,1,15
"caacae68-fec9-45a6-891a-27ccfd2e7ed8","Bruins 1 - Senators 2","42add1c3-7eed-4356-bd0b-cc3aa88693e8","e9d7bcb5-6723-4ca9-b1d9-1ccd026be1cb","42add1c3-7eed-4356-bd0b-cc3aa88693e8",19125,9480,2,1,1,"win","overtime_loss",2016,1,9
"005a1fb9-08b0-4ab7-a0c2-ae4676f3075c","Panthers 3 - Senators 2","42add1c3-7eed-4356-bd0b-cc3aa88693e8","7e5c2566-c3cc-4b2e-98e6-d8bce74b7fbc","7e5c2566-c3cc-4b2e-98e6-d8bce74b7fbc",17150,8700,2,3,1,"loss","win",2016,1,7
"6e584989-1d83-4f4e-af46-12ed8d3c8257","Panthers 5 - Sabres 1","1deb863f-6919-4b88-8a38-51753f3f3032","7e5c2566-c3cc-4b2e-98e6-d8bce74b7fbc","7e5c2566-c3cc-4b2e-98e6-d8bce74b7fbc",18560,8820,1,5,4,"loss","win",2016,1,5
"4be25d43-dbb3-4aa4-824b-3144271731dd","Red Wings 4 - Sabres 3","1deb863f-6919-4b88-8a38-51753f3f3032","c2a7d98a-fa2c-446e-9682-a8949854023e","c2a7d98a-fa2c-446e-9682-a8949854023e",19070,8880,3,4,1,"loss","win",2016,1,2
"fa7e7ddf-c312-4f87-8792-3e011f1551c1","Canadiens 5 - Bruins 1","e9d7bcb5-6723-4ca9-b1d9-1ccd026be1cb","80d99c5a-882e-4296-ae9d-048d2830b154","80d99c5a-882e-4296-ae9d-048d2830b154",67246,10320,1,5,4,"loss","win",2016,1,1
"717ecc2c-2ce3-42b4-b757-0bf388c94170","Canadiens 1 - Panthers 3","7e5c2566-c3cc-4b2e-98e6-d8bce74b7fbc","80d99c5a-882e-4296-ae9d-048d2830b154","7e5c2566-c3cc-4b2e-98e6-d8bce74b7fbc",19822,8940,3,1,2,"win","loss",2015,12,29
"2017407b-b551-4a48-a395-f477447bd000","Senators 3 - Bruins 7","e9d7bcb5-6723-4ca9-b1d9-1ccd026be1cb","42add1c3-7eed-4356-bd0b-cc3aa88693e8","e9d7bcb5-6723-4ca9-b1d9-1ccd026be1cb",17565,10020,7,3,4,"win","loss",2015,12,29
"7c136b1f-5e8c-43d5-926b-7a6ea7667bd4","Canadiens 4 - Lightning 3","efd97f2d-fe29-4fe8-9f01-cfad8488c0c2","80d99c5a-882e-4296-ae9d-048d2830b154","80d99c5a-882e-4296-ae9d-048d2830b154",19092,10800,3,4,1,"shootout_loss","win",2015,12,28
