"id","location","name","nickname","slug"
"4a2527de-0e8b-49cb-9d36-8101ccac5265","San Jose","San Jose","Sharks","nhl-sj"
"b6bc24e7-bd37-461e-a7b2-af79f68b2438","Vancouver","Vancouver","Canucks","nhl-van"
"4043825f-90d4-4f0d-8eb6-c734a2eafe9f","Minnesota","Minnesota","Wild","nhl-min"
"098b2599-0a70-47af-b38e-0e4e7a0acace","Nashville","Nashville","Predators","nhl-nas"
"efd97f2d-fe29-4fe8-9f01-cfad8488c0c2","Tampa Bay","Tampa Bay","Lightning","nhl-tb"
"1deb863f-6919-4b88-8a38-51753f3f3032","Buffalo","Buffalo","Sabres","nhl-buf"
"926ad5ca-c17f-4b20-8b72-9043b6066bc9","Calgary","Calgary","Flames","nhl-cal"
"0e39b5fe-bbac-4488-8a4c-6556fa1fff88","Anaheim","Anaheim","Ducks","nhl-ana"
"4cab4924-a7f5-43c5-8c16-73276fe5b485","Colorado","Colorado","Avalanche","nhl-col"
"157c2242-afa5-499d-906d-6a992927e58d","Winnipeg","Winnipeg","Jets","nhl-win"
"a345b10e-87b5-4635-bf24-fd6be058346f","Chicago","Chicago","Blackhawks","nhl-chi"
"5786217b-24e4-4827-8fb9-b4bcd388b869","Dallas","Dallas","Stars","nhl-dal"
"1f2dbc61-cced-4d84-9ee9-81bae4c9c70f","New York","NY Islanders","Islanders","nhl-nyi"
"7e5c2566-c3cc-4b2e-98e6-d8bce74b7fbc","Florida","Florida","Panthers","nhl-fla"
"42add1c3-7eed-4356-bd0b-cc3aa88693e8","Ottawa","Ottawa","Senators","nhl-ott"
"06bab022-21a6-4999-b7a1-fe569971c68a","Arizona","Arizona","Coyotes","nhl-ari"
"4ca89483-65ae-484d-bda9-eacba9ff4915","St. Louis","St. Louis","Blues","nhl-stl"
"54276c06-42a0-4649-838c-a462451d54c8","Washington","Washington","Capitals","nhl-was"
"b0c4bd8e-fba7-4374-87d2-68bd4ab20875","Carolina","Carolina","Hurricanes","nhl-car"
"e9d7bcb5-6723-4ca9-b1d9-1ccd026be1cb","Boston","Boston","Bruins","nhl-bos"
"ae19bcc6-3f57-46a0-9a14-6b0752155691","Los Angeles","Los Angeles","Kings","nhl-la"
"c2a7d98a-fa2c-446e-9682-a8949854023e","Detroit","Detroit","Red Wings","nhl-det"
"d32b9696-2d78-40a0-bf6d-3cd16dc48c96","New York","NY Rangers","Rangers","nhl-nyr"
"10c78613-f4e5-4ebf-a259-e3643aa3785a","Edmonton","Edmonton","Oilers","nhl-edm"
"26390f10-d08d-4a78-acf6-ac0a5d31a78c","Pittsburgh","Pittsburgh","Penguins","nhl-pit"
"c94be617-bf0c-4516-82b8-782d7aa783ae","Philadelphia","Philadelphia","Flyers","nhl-phi"
"2d8d4fda-a9b9-4978-abcc-31b9dfb47175","Toronto","Toronto","Maple Leafs","nhl-tor"
"fbbff0b0-b4e4-41eb-a179-f505bc922c14","New Jersey","New Jersey","Devils","nhl-nj"
"54410a6b-c9e0-443e-a4cf-b3e22f2cbb75","Columbus","Columbus","Blue Jackets","nhl-clb"
"80d99c5a-882e-4296-ae9d-048d2830b154","Montreal","Montreal","Canadiens","nhl-mon"
